day_id,condition_text
D0001,Partly Cloudy
D0002,Partly Cloudy
D0003,Light Rain with Thunder
D0004,Clear and Sunny
D0005,Clear and Sunny
D0006,Clear and Sunny
D0007,Partly Cloudy
D0008,Partly Cloudy
D0009,Partly Cloudy
D0010,Partly Cloudy
D0011,Clear and Sunny
D0012,Clear and Sunny
D0013,Clear and Sunny
D0014,Clear and Sunny
D0015,Clear and Sunny
D0016,Clear and Sunny
D0017,Partly Cloudy
D0018,Clear and Sunny
D0019,Clear and Sunny
D0020,Cloudy and Overcast
D0021,Clear and Sunny
D0022,Clear and Sunny
D0023,Clear and Sunny
D0024,Partly Cloudy
D0025,Partly Cloudy
D0026,Clear and Sunny
D0027,Partly Cloudy
D0028,Partly Cloudy
D0029,Partly Cloudy
D0030,Partly Cloudy
D0031,Clear and Sunny
D0032,Partly Cloudy
D0033,Mist or Fog
D0034,Partly Cloudy
D0035,Partly Cloudy
D0036,Partly Cloudy
D0037,Partly Cloudy
D0038,Partly Cloudy
D0039,Clear and Sunny
D0040,Partly Cloudy
D0041,Partly Cloudy
D0042,Light Rain with Thunder
D0043,Partly Cloudy
D0044,Partly Cloudy
D0045,Partly Cloudy
D0046,Partly Cloudy
D0047,Partly Cloudy
D0048,Partly Cloudy
D0049,Partly Cloudy
D0050,Partly Cloudy
D0051,Clear and Sunny
D0052,Partly Cloudy
D0053,Partly Cloudy
D0054,Partly Cloudy
D0055,Light Precipitation
D0056,Partly Cloudy
D0057,Partly Cloudy
D0058,Partly Cloudy
D0059,Partly Cloudy
D0060,Partly Cloudy
D0061,Partly Cloudy
D0062,Clear and Sunny
D0063,Partly Cloudy
D0064,Partly Cloudy
D0065,Partly Cloudy
D0066,Clear and Sunny
D0067,Partly Cloudy
D0068,Clear and Sunny
D0069,Partly Cloudy
D0070,Partly Cloudy
D0071,Partly Cloudy
D0072,Partly Cloudy
D0073,Clear and Sunny
D0074,Clear and Sunny
D0075,Light Rain with Thunder
D0076,Clear and Sunny
D0077,Partly Cloudy
D0078,Partly Cloudy
D0079,Light Precipitation
D0080,Partly Cloudy
D0081,Cloudy and Overcast
D0082,Partly Cloudy
D0083,Partly Cloudy
D0084,Partly Cloudy
D0085,Partly Cloudy
D0086,Partly Cloudy
D0087,Cloudy and Overcast
D0088,Partly Cloudy
D0089,Partly Cloudy
D0090,Partly Cloudy
D0091,Partly Cloudy
D0092,Partly Cloudy
D0093,Partly Cloudy
D0094,Partly Cloudy
D0095,Partly Cloudy
D0096,Partly Cloudy
D0097,Partly Cloudy
D0098,Partly Cloudy
D0099,Partly Cloudy
D0100,Partly Cloudy
D0101,Partly Cloudy
D0102,Partly Cloudy
D0103,Cloudy and Overcast
D0104,Partly Cloudy
D0105,Clear and Sunny
D0106,Clear and Sunny
D0107,Clear and Sunny
D0108,Clear and Sunny
D0109,Clear and Sunny
D0110,Clear and Sunny
D0111,Cloudy and Overcast
D0112,Clear and Sunny
D0113,Clear and Sunny
D0114,Clear and Sunny
D0115,Partly Cloudy
D0116,Clear and Sunny
D0117,Clear and Sunny
D0118,Clear and Sunny
D0119,Clear and Sunny
D0120,Clear and Sunny
D0121,Clear and Sunny
D0122,Clear and Sunny
D0123,Clear and Sunny
D0124,Clear and Sunny
D0125,Clear and Sunny
D0126,Clear and Sunny
D0127,Partly Cloudy
D0128,Light Precipitation
D0129,Partly Cloudy
D0130,Partly Cloudy
D0131,Partly Cloudy
D0132,Clear and Sunny
D0133,Clear and Sunny
D0134,Clear and Sunny
D0135,Clear and Sunny
D0136,Clear and Sunny
D0137,Clear and Sunny
D0138,Clear and Sunny
D0139,Clear and Sunny
D0140,Clear and Sunny
D0141,Clear and Sunny
D0142,Partly Cloudy
D0143,Partly Cloudy
D0144,Clear and Sunny
D0145,Clear and Sunny
D0146,Light Precipitation
D0147,Partly Cloudy
D0148,Clear and Sunny
D0149,Clear and Sunny
D0150,Clear and Sunny
D0151,Clear and Sunny
D0152,Clear and Sunny
D0153,Clear and Sunny
D0154,Partly Cloudy
D0155,Clear and Sunny
D0156,Clear and Sunny
D0157,Clear and Sunny
D0158,Partly Cloudy
D0159,Partly Cloudy
D0160,Clear and Sunny
D0161,Clear and Sunny
D0162,Clear and Sunny
D0163,Cloudy and Overcast
D0164,Clear and Sunny
D0165,Clear and Sunny
D0166,Clear and Sunny
D0167,Partly Cloudy
D0168,Clear and Sunny
D0169,Clear and Sunny
D0170,Clear and Sunny
D0171,Partly Cloudy
D0172,Clear and Sunny
D0173,Clear and Sunny
D0174,Clear and Sunny
D0175,Clear and Sunny
D0176,Clear and Sunny
D0177,Clear and Sunny
D0178,Clear and Sunny
D0179,Clear and Sunny
D0180,Clear and Sunny
D0181,Clear and Sunny
D0182,Clear and Sunny
D0183,Partly Cloudy
D0184,Partly Cloudy
D0185,Clear and Sunny
D0186,Clear and Sunny
D0187,Clear and Sunny
D0188,Clear and Sunny
D0189,Partly Cloudy
D0190,Clear and Sunny
D0191,Clear and Sunny
D0192,Clear and Sunny
D0193,Clear and Sunny
D0194,Clear and Sunny
D0195,Clear and Sunny
D0196,Clear and Sunny
D0197,Clear and Sunny
D0198,Clear and Sunny
D0199,Partly Cloudy
D0200,Partly Cloudy
D0201,Clear and Sunny
D0202,Clear and Sunny
D0203,Clear and Sunny
D0204,Clear and Sunny
D0205,Clear and Sunny
D0206,Clear and Sunny
D0207,Partly Cloudy
D0208,Partly Cloudy
D0209,Clear and Sunny
D0210,Clear and Sunny
D0211,Clear and Sunny
D0212,Clear and Sunny
D0213,Clear and Sunny
D0214,Clear and Sunny
D0215,Clear and Sunny
D0216,Clear and Sunny
D0217,Clear and Sunny
D0218,Mist or Fog
D0219,Mist or Fog
D0220,Clear and Sunny
D0221,Clear and Sunny
D0222,Clear and Sunny
D0223,Mist or Fog
D0224,Clear and Sunny
D0225,Clear and Sunny
D0226,Clear and Sunny
D0227,Mist or Fog
D0228,Clear and Sunny
D0229,Clear and Sunny
D0230,Clear and Sunny
D0231,Clear and Sunny
D0232,Clear and Sunny
D0233,Clear and Sunny
D0234,Clear and Sunny
D0235,Cloudy and Overcast
D0236,Clear and Sunny
D0237,Partly Cloudy
D0238,Light Precipitation
D0239,Partly Cloudy
D0240,Light Precipitation
D0241,Rain Showers
D0242,Partly Cloudy
D0243,Light Precipitation
D0244,Cloudy and Overcast
D0245,Rain Showers
D0246,Partly Cloudy
D0247,Partly Cloudy
D0248,Rain Showers
D0249,Cloudy and Overcast
D0250,Partly Cloudy
D0251,Partly Cloudy
D0252,Partly Cloudy
D0253,Light Rain with Thunder
D0254,Light Precipitation
D0255,Light Precipitation
D0256,Moderate to Heavy Rain
D0257,Partly Cloudy
D0258,Light Precipitation
D0259,Light Precipitation
D0260,Light Precipitation
D0261,Clear and Sunny
D0262,Clear and Sunny
D0263,Partly Cloudy
D0264,Mist or Fog
D0265,Clear and Sunny
D0266,Mist or Fog
D0267,Mist or Fog
D0268,Mist or Fog
D0269,Clear and Sunny
D0270,Mist or Fog
D0271,Mist or Fog
D0272,Clear and Sunny
D0273,Clear and Sunny
D0274,Clear and Sunny
D0275,Clear and Sunny
D0276,Clear and Sunny
D0277,Mist or Fog
D0278,Cloudy and Overcast
D0279,Mist or Fog
D0280,Clear and Sunny
D0281,Mist or Fog
D0282,Clear and Sunny
D0283,Clear and Sunny
D0284,Mist or Fog
D0285,Clear and Sunny
D0286,Clear and Sunny
D0287,Partly Cloudy
D0288,Partly Cloudy
D0289,Clear and Sunny
D0290,Light Precipitation
D0291,Clear and Sunny
D0292,Mist or Fog
D0293,Clear and Sunny
D0294,Clear and Sunny
D0295,Clear and Sunny
D0296,Clear and Sunny
D0297,Clear and Sunny
D0298,Clear and Sunny
D0299,Clear and Sunny
D0300,Clear and Sunny
D0301,Clear and Sunny
D0302,Light Precipitation
D0303,Partly Cloudy
D0304,Clear and Sunny
D0305,Clear and Sunny
D0306,Partly Cloudy
D0307,Clear and Sunny
D0308,Clear and Sunny
D0309,Partly Cloudy
D0310,Clear and Sunny
D0311,Partly Cloudy
D0312,Clear and Sunny
D0313,Partly Cloudy
D0314,Partly Cloudy
D0315,Clear and Sunny
D0316,Light Precipitation
D0317,Clear and Sunny
D0318,Clear and Sunny
D0319,Partly Cloudy
D0320,Partly Cloudy
D0321,Partly Cloudy
D0322,Clear and Sunny
D0323,Clear and Sunny
D0324,Clear and Sunny
D0325,Clear and Sunny
D0326,Clear and Sunny
D0327,Clear and Sunny
D0328,Clear and Sunny
D0329,Partly Cloudy
D0330,Partly Cloudy
D0331,Mist or Fog
D0332,Partly Cloudy
D0333,Clear and Sunny
D0334,Clear and Sunny
D0335,Partly Cloudy
D0336,Clear and Sunny
D0337,Partly Cloudy
D0338,Clear and Sunny
D0339,Partly Cloudy
D0340,Light Precipitation
D0341,Partly Cloudy
D0342,Partly Cloudy
D0343,Partly Cloudy
D0344,Partly Cloudy
D0345,Thunderstorms
D0346,Light Precipitation
D0347,Cloudy and Overcast
D0348,Cloudy and Overcast
D0349,Partly Cloudy
D0350,Clear and Sunny
D0351,Clear and Sunny
D0352,Clear and Sunny
D0353,Clear and Sunny
D0354,Clear and Sunny
D0355,Clear and Sunny
D0356,Clear and Sunny
D0357,Partly Cloudy
D0358,Clear and Sunny
D0359,Clear and Sunny
D0360,Clear and Sunny
D0361,Light Precipitation
D0362,Clear and Sunny
D0363,Clear and Sunny
D0364,Clear and Sunny
D0365,Partly Cloudy
D0366,Clear and Sunny
D0367,Light Precipitation
D0368,Clear and Sunny
D0369,Clear and Sunny
D0370,Partly Cloudy
D0371,Partly Cloudy
D0372,Light Precipitation
D0373,Partly Cloudy
D0374,Clear and Sunny
D0375,Light Precipitation
D0376,Partly Cloudy
D0377,Light Precipitation
D0378,Clear and Sunny
D0379,Clear and Sunny
D0380,Partly Cloudy
D0381,Partly Cloudy
D0382,Partly Cloudy
D0383,Clear and Sunny
D0384,Partly Cloudy
D0385,Partly Cloudy
D0386,Partly Cloudy
D0387,Clear and Sunny
D0388,Clear and Sunny
D0389,Partly Cloudy
D0390,Partly Cloudy
D0391,Partly Cloudy
D0392,Clear and Sunny
D0393,Clear and Sunny
D0394,Clear and Sunny
D0395,Clear and Sunny
D0396,Clear and Sunny
D0397,Clear and Sunny
D0398,Clear and Sunny
D0399,Light Precipitation
D0400,Light Precipitation
D0401,Light Precipitation
D0402,Light Precipitation
D0403,Partly Cloudy
D0404,Light Precipitation
D0405,Partly Cloudy
D0406,Clear and Sunny
D0407,Clear and Sunny
D0408,Clear and Sunny
D0409,Clear and Sunny
D0410,Clear and Sunny
D0411,Clear and Sunny
D0412,Clear and Sunny
D0413,Light Precipitation
D0414,Light Precipitation
D0415,Clear and Sunny
D0416,Clear and Sunny
D0417,Partly Cloudy
D0418,Light Precipitation
D0419,Partly Cloudy
D0420,Partly Cloudy
D0421,Light Precipitation
D0422,Clear and Sunny
D0423,Clear and Sunny
D0424,Partly Cloudy
D0425,Partly Cloudy
D0426,Light Precipitation
D0427,Partly Cloudy
D0428,Partly Cloudy
D0429,Partly Cloudy
D0430,Partly Cloudy
D0431,Partly Cloudy
D0432,Partly Cloudy
D0433,Partly Cloudy
D0434,Partly Cloudy
D0435,Partly Cloudy
D0436,Partly Cloudy
D0437,Partly Cloudy
D0438,Partly Cloudy
D0439,Partly Cloudy
D0440,Light Precipitation
D0441,Partly Cloudy
D0442,Partly Cloudy
D0443,Partly Cloudy
D0444,Partly Cloudy
D0445,Partly Cloudy
D0446,Light Precipitation
D0447,Partly Cloudy
D0448,Partly Cloudy
D0449,Partly Cloudy
D0450,Partly Cloudy
D0451,Partly Cloudy
D0452,Light Rain with Thunder
D0453,Partly Cloudy
D0454,Light Precipitation
D0455,Partly Cloudy
D0456,Partly Cloudy
D0457,Partly Cloudy
D0458,Partly Cloudy
D0459,Partly Cloudy
D0460,Light Rain with Thunder
D0461,Light Precipitation
D0462,Partly Cloudy
D0463,Partly Cloudy
D0464,Partly Cloudy
D0465,Partly Cloudy
D0466,Partly Cloudy
D0467,Partly Cloudy
D0468,Partly Cloudy
D0469,Clear and Sunny
D0470,Partly Cloudy
D0471,Partly Cloudy
D0472,Partly Cloudy
D0473,Clear and Sunny
D0474,Partly Cloudy
D0475,Partly Cloudy
D0476,Partly Cloudy
D0477,Partly Cloudy
D0478,Partly Cloudy
D0479,Partly Cloudy
D0480,Partly Cloudy
D0481,Partly Cloudy
D0482,Partly Cloudy
D0483,Partly Cloudy
D0484,Light Precipitation
D0485,Partly Cloudy
D0486,Partly Cloudy
D0487,Partly Cloudy
D0488,Partly Cloudy
D0489,Partly Cloudy
D0490,Partly Cloudy
D0491,Partly Cloudy
D0492,Partly Cloudy
D0493,Clear and Sunny
D0494,Partly Cloudy
D0495,Partly Cloudy
D0496,Partly Cloudy
D0497,Clear and Sunny
D0498,Light Precipitation
D0499,Partly Cloudy
D0500,Thunderstorms
D0501,Light Rain with Thunder
D0502,Partly Cloudy
D0503,Clear and Sunny
D0504,Partly Cloudy
D0505,Light Precipitation
D0506,Partly Cloudy
D0507,Clear and Sunny
D0508,Clear and Sunny
D0509,Partly Cloudy
D0510,Partly Cloudy
D0511,Partly Cloudy
D0512,Clear and Sunny
D0513,Partly Cloudy
D0514,Clear and Sunny
D0515,Partly Cloudy
D0516,Partly Cloudy
D0517,Partly Cloudy
D0518,Light Rain with Thunder
D0519,Partly Cloudy
D0520,Partly Cloudy
D0521,Clear and Sunny
D0522,Clear and Sunny
D0523,Clear and Sunny
D0524,Partly Cloudy
D0525,Cloudy and Overcast
D0526,Partly Cloudy
D0527,Partly Cloudy
D0528,Partly Cloudy
D0529,Mist or Fog
D0530,Moderate to Heavy Rain
D0531,Partly Cloudy
D0532,Partly Cloudy
D0533,Partly Cloudy
D0534,Cloudy and Overcast
D0535,Clear and Sunny
D0536,Partly Cloudy
D0537,Cloudy and Overcast
D0538,Clear and Sunny
D0539,Clear and Sunny
D0540,Partly Cloudy
D0541,Partly Cloudy
D0542,Cloudy and Overcast
D0543,Clear and Sunny
D0544,Partly Cloudy
D0545,Clear and Sunny
D0546,Partly Cloudy
D0547,Clear and Sunny
D0548,Clear and Sunny
D0549,Clear and Sunny
D0550,Clear and Sunny
D0551,Clear and Sunny
D0552,Clear and Sunny
D0553,Mist or Fog
D0554,Mist or Fog
D0555,Mist or Fog
D0556,Mist or Fog
D0557,Mist or Fog
D0558,Light Precipitation
D0559,Mist or Fog
D0560,Mist or Fog
D0561,Clear and Sunny
D0562,Clear and Sunny
D0563,Clear and Sunny
D0564,Mist or Fog
D0565,Mist or Fog
D0566,Mist or Fog
D0567,Clear and Sunny
D0568,Clear and Sunny
D0569,Clear and Sunny
D0570,Clear and Sunny
D0571,Clear and Sunny
D0572,Clear and Sunny
D0573,Light Precipitation
D0574,Light Precipitation
D0575,Clear and Sunny
D0576,Partly Cloudy
D0577,Clear and Sunny
D0578,Clear and Sunny
D0579,Clear and Sunny
D0580,Clear and Sunny
D0581,Partly Cloudy
D0582,Clear and Sunny
D0583,Partly Cloudy
D0584,Clear and Sunny
D0585,Clear and Sunny
D0586,Clear and Sunny
D0587,Clear and Sunny
D0588,Clear and Sunny
D0589,Partly Cloudy
D0590,Clear and Sunny
D0591,Clear and Sunny
D0592,Clear and Sunny
D0593,Clear and Sunny
D0594,Clear and Sunny
D0595,Partly Cloudy
D0596,Clear and Sunny
D0597,Clear and Sunny
D0598,Clear and Sunny
D0599,Partly Cloudy
D0600,Partly Cloudy
D0601,Partly Cloudy
D0602,Clear and Sunny
D0603,Clear and Sunny
D0604,Clear and Sunny
D0605,Clear and Sunny
D0606,Clear and Sunny
D0607,Clear and Sunny
D0608,Clear and Sunny
D0609,Clear and Sunny
D0610,Clear and Sunny
D0611,Clear and Sunny
D0612,Clear and Sunny
D0613,Mist or Fog
D0614,Clear and Sunny
D0615,Partly Cloudy
D0616,Clear and Sunny
D0617,Clear and Sunny
D0618,Clear and Sunny
D0619,Partly Cloudy
D0620,Clear and Sunny
D0621,Clear and Sunny
D0622,Clear and Sunny
D0623,Clear and Sunny
D0624,Partly Cloudy
D0625,Cloudy and Overcast
D0626,Cloudy and Overcast
D0627,Partly Cloudy
D0628,Clear and Sunny
D0629,Clear and Sunny
D0630,Partly Cloudy
D0631,Clear and Sunny
D0632,Clear and Sunny
D0633,Clear and Sunny
D0634,Clear and Sunny
D0635,Clear and Sunny
D0636,Partly Cloudy
D0637,Clear and Sunny
D0638,Clear and Sunny
D0639,Clear and Sunny
D0640,Clear and Sunny
D0641,Partly Cloudy
D0642,Clear and Sunny
D0643,Clear and Sunny
D0644,Clear and Sunny
D0645,Clear and Sunny
D0646,Clear and Sunny
D0647,Clear and Sunny
D0648,Clear and Sunny
D0649,Clear and Sunny
D0650,Cloudy and Overcast
D0651,Mist or Fog
D0652,Partly Cloudy
D0653,Clear and Sunny
D0654,Partly Cloudy
D0655,Clear and Sunny
D0656,Clear and Sunny
D0657,Partly Cloudy
D0658,Clear and Sunny
D0659,Clear and Sunny
D0660,Partly Cloudy
D0661,Clear and Sunny
D0662,Clear and Sunny
D0663,Clear and Sunny
D0664,Partly Cloudy
D0665,Clear and Sunny
D0666,Clear and Sunny
D0667,Mist or Fog
D0668,Mist or Fog
D0669,Partly Cloudy
D0670,Clear and Sunny
D0671,Mist or Fog
D0672,Mist or Fog
D0673,Mist or Fog
D0674,Clear and Sunny
D0675,Clear and Sunny
D0676,Mist or Fog
D0677,Rain Showers
D0678,Rain Showers
D0679,Partly Cloudy
D0680,Partly Cloudy
D0681,Partly Cloudy
D0682,Partly Cloudy
D0683,Partly Cloudy
D0684,Partly Cloudy
D0685,Partly Cloudy
D0686,Light Precipitation
D0687,Partly Cloudy
D0688,Partly Cloudy
D0689,Partly Cloudy
D0690,Partly Cloudy
D0691,Partly Cloudy
D0692,Partly Cloudy
D0693,Partly Cloudy
D0694,Partly Cloudy
D0695,Partly Cloudy
D0696,Partly Cloudy
D0697,Partly Cloudy
D0698,Partly Cloudy
D0699,Partly Cloudy
D0700,Partly Cloudy
D0701,Partly Cloudy
D0702,Partly Cloudy
D0703,Partly Cloudy
D0704,Partly Cloudy
D0705,Partly Cloudy
D0706,Partly Cloudy
D0707,Partly Cloudy
D0708,Partly Cloudy
D0709,Partly Cloudy
D0710,Partly Cloudy
D0711,Partly Cloudy
D0712,Partly Cloudy
D0713,Partly Cloudy
D0714,Partly Cloudy
D0715,Partly Cloudy
D0716,Partly Cloudy
D0717,Partly Cloudy
D0718,Partly Cloudy
D0719,Partly Cloudy
D0720,Partly Cloudy
D0721,Partly Cloudy
D0722,Partly Cloudy
D0723,Partly Cloudy
D0724,Partly Cloudy
D0725,Partly Cloudy
D0726,Cloudy and Overcast
D0727,Partly Cloudy
D0728,Partly Cloudy
D0729,Partly Cloudy
D0730,Partly Cloudy
D0731,Partly Cloudy
D0732,Partly Cloudy
D0733,Partly Cloudy
D0734,Partly Cloudy
D0735,Thunderstorms
D0736,Partly Cloudy
D0737,Partly Cloudy
D0738,Partly Cloudy
D0739,Partly Cloudy
D0740,Partly Cloudy
D0741,Partly Cloudy
D0742,Partly Cloudy
D0743,Partly Cloudy
D0744,Partly Cloudy
D0745,Partly Cloudy
D0746,Light Rain with Thunder
D0747,Partly Cloudy
D0748,Partly Cloudy
D0749,Partly Cloudy
D0750,Partly Cloudy
D0751,Partly Cloudy
D0752,Partly Cloudy
D0753,Partly Cloudy
D0754,Partly Cloudy
D0755,Rain Showers
D0756,Rain Showers
D0757,Partly Cloudy
D0758,Light Precipitation
D0759,Light Precipitation
D0760,Light Precipitation
D0761,Rain Showers
D0762,Partly Cloudy
D0763,Partly Cloudy
D0764,Partly Cloudy
D0765,Light Precipitation
D0766,Light Rain with Thunder
D0767,Partly Cloudy
D0768,Clear and Sunny
D0769,Partly Cloudy
D0770,Cloudy and Overcast
D0771,Partly Cloudy
D0772,Partly Cloudy
D0773,Partly Cloudy
D0774,Partly Cloudy
D0775,Partly Cloudy
D0776,Partly Cloudy
D0777,Partly Cloudy
D0778,Partly Cloudy
D0779,Light Rain with Thunder
D0780,Partly Cloudy
D0781,Partly Cloudy
D0782,Partly Cloudy
D0783,Partly Cloudy
D0784,Mist or Fog
D0785,Clear and Sunny
D0786,Partly Cloudy
D0787,Clear and Sunny
D0788,Partly Cloudy
D0789,Partly Cloudy
D0790,Clear and Sunny
D0791,Partly Cloudy
D0792,Mist or Fog
D0793,Clear and Sunny
D0794,Partly Cloudy
D0795,Partly Cloudy
D0796,Mist or Fog
D0797,Partly Cloudy
D0798,Clear and Sunny
D0799,Clear and Sunny
D0800,Clear and Sunny
D0801,Partly Cloudy
D0802,Clear and Sunny
D0803,Partly Cloudy
D0804,Partly Cloudy
D0805,Clear and Sunny
D0806,Clear and Sunny
D0807,Partly Cloudy
D0808,Mist or Fog
D0809,Moderate to Heavy Rain
D0810,Partly Cloudy
D0811,Partly Cloudy
D0812,Clear and Sunny
D0813,Partly Cloudy
D0814,Partly Cloudy
D0815,Partly Cloudy
D0816,Clear and Sunny
D0817,Partly Cloudy
D0818,Partly Cloudy
D0819,Clear and Sunny
D0820,Partly Cloudy
D0821,Partly Cloudy
D0822,Partly Cloudy
D0823,Partly Cloudy
D0824,Partly Cloudy
D0825,Partly Cloudy
D0826,Partly Cloudy
D0827,Partly Cloudy
D0828,Thunderstorms
D0829,Partly Cloudy
D0830,Partly Cloudy
D0831,Partly Cloudy
D0832,Partly Cloudy
D0833,Partly Cloudy
D0834,Partly Cloudy
D0835,Cloudy and Overcast
D0836,Partly Cloudy
D0837,Partly Cloudy
D0838,Clear and Sunny
D0839,Partly Cloudy
D0840,Partly Cloudy
D0841,Clear and Sunny
D0842,Mist or Fog
D0843,Partly Cloudy
D0844,Mist or Fog
D0845,Partly Cloudy
D0846,Mist or Fog
D0847,Mist or Fog
D0848,Rain Showers
D0849,Partly Cloudy
D0850,Clear and Sunny
D0851,Partly Cloudy
D0852,Partly Cloudy
D0853,Clear and Sunny
D0854,Partly Cloudy
D0855,Clear and Sunny
D0856,Partly Cloudy
D0857,Clear and Sunny
D0858,Partly Cloudy
D0859,Partly Cloudy
D0860,Cloudy and Overcast
D0861,Cloudy and Overcast
D0862,Partly Cloudy
D0863,Partly Cloudy
D0864,Clear and Sunny
D0865,Clear and Sunny
D0866,Clear and Sunny
D0867,Clear and Sunny
D0868,Clear and Sunny
D0869,Clear and Sunny
D0870,Clear and Sunny
D0871,Clear and Sunny
D0872,Clear and Sunny
D0873,Partly Cloudy
D0874,Mist or Fog
D0875,Partly Cloudy
D0876,Clear and Sunny
D0877,Clear and Sunny
D0878,Clear and Sunny
D0879,Light Precipitation
D0880,Clear and Sunny
D0881,Partly Cloudy
D0882,Clear and Sunny
D0883,Cloudy and Overcast
D0884,Partly Cloudy
D0885,Partly Cloudy
D0886,Partly Cloudy
D0887,Partly Cloudy
D0888,Partly Cloudy
D0889,Partly Cloudy
D0890,Partly Cloudy
D0891,Partly Cloudy
D0892,Partly Cloudy
D0893,Partly Cloudy
D0894,Partly Cloudy
D0895,Partly Cloudy
D0896,Light Precipitation
D0897,Partly Cloudy
D0898,Cloudy and Overcast
D0899,Partly Cloudy
D0900,Partly Cloudy
D0901,Partly Cloudy
D0902,Partly Cloudy
D0903,Partly Cloudy
D0904,Partly Cloudy
D0905,Partly Cloudy
D0906,Partly Cloudy
D0907,Partly Cloudy
D0908,Partly Cloudy
D0909,Partly Cloudy
D0910,Partly Cloudy
D0911,Clear and Sunny
D0912,Clear and Sunny
D0913,Clear and Sunny
D0914,Partly Cloudy
D0915,Partly Cloudy
D0916,Thunderstorms
D0917,Partly Cloudy
D0918,Partly Cloudy
D0919,Clear and Sunny
D0920,Clear and Sunny
D0921,Partly Cloudy
D0922,Cloudy and Overcast
D0923,Clear and Sunny
D0924,Clear and Sunny
D0925,Cloudy and Overcast
D0926,Clear and Sunny
D0927,Clear and Sunny
D0928,Clear and Sunny
D0929,Partly Cloudy
D0930,Partly Cloudy
D0931,Clear and Sunny
D0932,Light Precipitation
D0933,Partly Cloudy
D0934,Cloudy and Overcast
D0935,Cloudy and Overcast
D0936,Cloudy and Overcast
D0937,Light Precipitation
D0938,Clear and Sunny
D0939,Clear and Sunny
D0940,Clear and Sunny
D0941,Clear and Sunny
D0942,Clear and Sunny
D0943,Clear and Sunny
D0944,Clear and Sunny
D0945,Clear and Sunny
D0946,Clear and Sunny
D0947,Clear and Sunny
D0948,Clear and Sunny
D0949,Clear and Sunny
D0950,Clear and Sunny
D0951,Clear and Sunny
D0952,Clear and Sunny
D0953,Partly Cloudy
D0954,Clear and Sunny
D0955,Clear and Sunny
D0956,Clear and Sunny
D0957,Clear and Sunny
D0958,Clear and Sunny
D0959,Clear and Sunny
D0960,Clear and Sunny
D0961,Clear and Sunny
D0962,Clear and Sunny
D0963,Cloudy and Overcast
D0964,Partly Cloudy
D0965,Light Precipitation
D0966,Partly Cloudy
D0967,Partly Cloudy
D0968,Light Precipitation
D0969,Partly Cloudy
D0970,Cloudy and Overcast
D0971,Clear and Sunny
